Stadiumname,Capacity,City,Clubs,Renovations,Record attendance,Address
Wham Stadium,5 057,Accrington,Accrington Stanley FC,"1995, 2007","4,368 (Accrington Stanley - Colchester Town, 2004)","Livingstone Road, Accrington, BB5 5BX, United Kingdom"
The New Lawn,5 032,Nailsworth,Forest Green Rovers FC,,"4,836 (Forest Green Rovers - Derby County, 2009)","Another Way, Nailsworth GL6 0FG, United Kingdom"
PHB Stadium (Stonebridge Road),5 011,Northfleet,Ebbsfleet United FC,2006,"12,032 (Gravesend & Northfleet - Sunderland AFC, 1963)","Stonebridge Road, Northfleet, Kent, DA11 9GN, United Kingdom"
The Cherry Red Records Stadium (Kingsmeadow),4 850,London,"Kingstonian FC, AFC Wimbledon","2005, 2008, 2012","4,749 (AFC Wimbledon - Exeter City, 2013)","Jack Goodchild Way, 422A Kingston Road, Kingston upon Thames KT1 3PB, United Kingdom"
Broadhurst Park,4 400,Manchester,FC United of Manchester,,"4,232 (FC United - Benfica, 2015)","Lightbowne Road, Moston, Manchester"
Princes Park Stadium (Dartford),4 100,Dartford,Dartford FC,,,"Grass Banks, Dartford, DA1 1RT"
Ewen Fields,4 073,Hyde,Hyde FC,2010,,"Miles Street, Hyde, Greater Manchester, SK14 2SB"
Tameside Stadium,4 000,Ashton-under-Lyne,Curzon Ashton FC,,,"Richmond St, Ashton-under-Lyne OL7 9HG, United Kingdom"
Moor Lane,3 339,Salford,Salford City FC,"1980, 1989, 2017",,"Moor Ln, Salford M7 3PZ, Wielka Brytania"
The Dripping Pan,3 000,Lewes,Lewes FC,"2003, 2007",,"Mountfield Road, Lewes, East Sussex, BN7 2XA"
DCJ Group Insurance Arena (Causeway Lane),2 757,Matlock,Matlock Town FC,2010,"5,123 (Matlock Town � Burton Albion, 1975)","Causeway Lane, Matlock, Derbyshire, DE4 3AR"
Sandygate Road,700,Sheffield,Hallam FC,"1992, 1999","2,000 (Hallam FC - Bishop Auckland, 1925)","Sandygate Road, Crosspool, Sheffield, S105SE, United Kingdom"
Don Valley Stadium � until 2013,25 000,Sheffield,-,2008,,
Arsenal Stadium (Highbury) � until 2006,38 500,London,Arsenal FC,,"73 295 (Arsenal - Sunderland, 1935)","Avenell road, Highbury, London, N5 1BU"
Maine Road � until 2003,35 150,Manchester,Manchester City FC,"1931, 1935, 1957, 1970","84 569 (Manchester city - Stoke City, 1934)",
British Empire Exhibition Stadium (Wembley Stadium) � until 2000,82 000,London,-,"1955, 1963, 1966","ok. 200 000 (Bolton Wanderers - West Ham United, 1923)","Wembley National Stadium, Wembley, London, HA9 ODW"
Victoria Ground � until 1997,22 500,Stoke-on-Trent,Stoke City FC,,"51 380 (Stoke City - Arsenal FC, 1937)",
,,,,,,
